[Mar 18 23:15:29] Asterisk 22.2.0 built by root @ 8cc7c63359fe on a x86_64 running Linux on 2025-03-15 18:50:23 UTC
[Mar 18 23:15:29] NOTICE[1] loader.c: 309 modules will be loaded.
[Mar 18 23:15:29] NOTICE[1] cdr.c: CDR simple logging enabled.
[Mar 18 23:15:29] NOTICE[1] indications.c: Default country for indication tones: us
[Mar 18 23:15:29] NOTICE[1] indications.c: Setting default indication country to 'us'
[Mar 18 23:15:29] NOTICE[1] res_smdi.c: No SMDI interfaces are available to listen on, not starting SMDI listener.
[Mar 18 23:15:29] WARNING[1] res_phoneprov.c: Unable to find a valid server address or name.
[Mar 18 23:15:30] ERROR[1] ari/config.c: No configured users for ARI
[Mar 18 23:15:30] NOTICE[1] confbridge/conf_config_parser.c: Adding default_menu menu to app_confbridge
[Mar 18 23:15:30] NOTICE[1] cel_custom.c: No mappings found in cel_custom.conf. Not logging CEL to custom CSVs.
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: qualify at line 944 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: nat at line 945 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: callerid at line 946 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: domain at line 947 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: type at line 959 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: username at line 960 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: secret at line 961 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: host at line 962 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: context at line 963 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: disallow at line 964 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: allow at line 965 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: qualify at line 966 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: nat at line 967 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: callerid at line 968 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: domain at line 969 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: type at line 973 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: username at line 974 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: secret at line 975 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: host at line 976 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: context at line 977 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: disallow at line 978 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: allow at line 979 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: qualify at line 980 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: nat at line 981 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: callerid at line 982 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: domain at line 983 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: type at line 987 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: username at line 988 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: secret at line 989 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: host at line 990 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: context at line 991 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: disallow at line 992 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: allow at line 993 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:59] WARNING[106] pbx_config.c: ==!!== Unknown directive: qualify at line 994 of extensions.conf -- IGNORING!!!
